type,name,label,required,choice_filter,calculation,relevant,repeat_count,constraint,constraint_message,hint,default,appearance
select_multiple growth,q5304_irrigGrthStage,At what stage was irrigation applied in ${q305_cropLargestArea}__${q301_LLU} plot for ${q116_crop}? (multiple select),yes,crop = ${q116_crop},,"selected(${q5301_irrigAvail},'yes')",,"(selected(${q5304_irrigGrthStage}, 'None') and count-selected(.) = 1) or (not(selected(${q5304_irrigGrthStage}, 'None')))","You cannot select ""None"" and other response at the same time !",,,minimal
select_one irrigTimes,q5305_irrigTimes,Number of times of irrigation applied after crop establishment in ${q305_cropLargestArea}__${q301_LLU} plot for ${q116_crop} (single select),yes,,,"selected(${q5301_irrigAvail},'yes') and (not(selected(${q5304_irrigGrthStage}, 'None')))",,,,,,minimal
select_multiple drySpell,q5306_drySpellReason,"If irrigation was not applied during all specified stages (for wheat and other relevant crops) and dry spell (for rice under rainfed condition) periods, why? (multiple select)",yes,,,"selected(${q5301_irrigAvail},'yes') and selected(${q5305_irrigTimes},'0')",,"(selected(${q5306_drySpellReason}, 'NotApplicable') and count-selected(.) = 1) or (not(selected(${q5306_drySpellReason}, 'NotApplicable')))","You cannot select ""Not applicable"" and other response at the same time !",,,minimal
text,q5307_drySpellOther,Enter other dry spell reason,yes,,,"selected(${q5306_drySpellReason},'Other')",,,,,,
end group,,,,,,,,,,,,
,,,,,,,,,,,,
begin group,H,Detailed irrigation management in ${q305_cropLargestArea}__${q301_LLU}  for ${q116_crop},yes,,,"selected(${surveyConsent},'yes') and selected(${q5301_irrigAvail},'yes')",,,,,,
select_multiple irrigDec,q5401_irrigDecision,How do you decide when to irrigate the ${q305_cropLargestArea}__${q301_LLU}  for ${q116_crop}? (multiple select),yes,,,"selected(${q5305_irrigTimes},'1') or selected(${q5305_irrigTimes},'2') or selected(${q5305_irrigTimes},'3') or selected(${q5305_irrigTimes},'4') or selected(${q5305_irrigTimes},'5') or selected(${q5305_irrigTimes},'6') or selected(${q5305_irrigTimes},'7') or selected(${q5305_irrigTimes},'8') or selected(${q5305_irrigTimes},'9') or selected(${q5305_irrigTimes},'10') or selected(${q5305_irrigTimes},'11') or selected(${q5305_irrigTimes},'12') or selected(${q5305_irrigTimes},'13')",,,,,,minimal
text,q5402_irrigOtherDecsn,Enter other decision to irrigate the ${q305_cropLargestArea}__${q301_LLU}  plot for ${q116_crop},yes,,,"selected(${q5401_irrigDecision},'Other')",,,,,,
,,,,,,,,,,,,
select_multiple notIrrig,q5403_notIrrigReason,"If ${q305_cropLargestArea}__${q301_LLU}  plot was not irrigated when required, why? (multiple select)",yes,,,"selected(${q5305_irrigTimes},'0') ",,,,,,minimal
text,q5404_notIrrigOther,Enter other reason for not irrigating ${q305_cropLargestArea}__${q301_LLU}  plot when required,yes,,,"selected(${q5403_notIrrigReason},'Other')",,,,,,
,,,,,,,,,,,,
decimal,q5405_tubewellDepthFeet,Depth of tubewell in FEET used to irrigate ${q305_cropLargestArea}__${q301_LLU}  plot,yes,,,"selected(${q5302_irrigSource},'ShallowTubeWell') or selected(${q5302_irrigSource},'DeepTubeWell')",,,,,,
select_one yesno,pumpUse,Did ${q110_fName} use pump to irrigate ${q305_cropLargestArea}__${q301_LLU}  plot?,yes,,,,,,,,,quick
select_one pumpEnergy,q5406_pumpEnergy,Energy source for the pump,yes,,,"selected(${pumpUse},'yes')",,,,,,quick
select_one yesno,q5407_layFlatPipe,Did you use lay – flat pipe to irrigate the ${q305_cropLargestArea}__${q301_LLU}  plot?,yes,,,,,,,,,quick
end group,,,,,,,,,,,,
,,,,,,,,,,,,
begin group,I,Production constraints in ${q305_cropLargestArea}__${q301_LLU}  for ${q116_crop},yes,,,"selected(${surveyConsent},'yes') and not(selected(${q116_crop},'Fallow'))",,,,,,
select_multiple growthStages,q5501_droughtGS,In which growth stage(s) did drought affect the crop? (in in ${q305_cropLargestArea}__${q301_LLU}) (multiple select),yes,crop = ${q116_crop},,,,"(selected(${q5501_droughtGS}, 'None') and count-selected(.) = 1) or (not(selected(${q5501_droughtGS}, 'None')))","You cannot select ""None"" and other response at the same time !",,,minimal
select_one severity,q5502_droughtSeverity,Severity of overall drought stress in ${q305_cropLargestArea}__${q301_LLU},yes,,,,,,,,,
select_one growthStages,q5503_floodGS,In which growth stage(s) did flood affect the crop? (in ${q305_cropLargestArea}__${q301_LLU}) (multiple select),yes,crop = ${q116_crop},,"selected(${q116_crop},'Rice')",,"(selected(${q5503_floodGS}, 'None') and count-selected(.) = 1) or (not(selected(${q5503_floodGS}, 'None')))","You cannot select ""None"" and other response at the same time !",,,minimal
select_one severity,q5504_floodSeverity,Severity of overall flood damage in ${q305_cropLargestArea}__${q301_LLU},yes,,,"selected(${q116_crop},'Rice')",,,,,,
select_one severity,q5505_weedSeverity,Severity of weed pressure in ${q305_cropLargestArea}__${q301_LLU},yes,,,,,,,,,
select_one severity,q5506_insectSeverity,Severity of insect pressure in ${q305_cropLargestArea}__${q301_LLU},yes,,,,,,,,,
select_one yesno,q5507_insecticides,Were insecticides applied in ${q305_cropLargestArea}__${q301_LLU}?,yes,,,,,,,,,
text,q5508_insecticidesName,"If yes, name of insecticides",yes,,,"selected(${q5507_insecticides},'yes')",,,,,,
select_one severity,q5509_diseaseSeverity,Severity of disease pressure in ${q305_cropLargestArea}__${q301_LLU},yes,,,,,,,,,
